scenario,run,seed,method,clusters,non_compliant_total,clusters_with_non_compliant,max_non_compliant_concentration,mean_non_compliant_concentration,average_non_compliant_per_cluster,cluster_size_std,cluster_size_range,clustering_time_sec
S1_90_0_10,34,10033,Baseline,10,10,5,0.3,0.09838383838383838,1.0,0.816496580927726,2,0.0004924999957438558
S1_90_0_10,34,10033,Security-Aware,10,10,10,0.1111111111111111,0.10075757575757575,1.0,0.9428090415820634,3,0.0005414169863797724
S1_90_0_10,35,10034,Baseline,10,10,6,0.3,0.09656565656565656,1.0,0.816496580927726,2,0.00038104201667010784
S1_90_0_10,35,10034,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005512909847311676
S1_90_0_10,36,10035,Baseline,10,10,8,0.18181818181818182,0.09707070707070707,1.0,1.1547005383792515,4,0.0005036249931436032
S1_90_0_10,36,10035,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005697919987142086
S1_90_0_10,37,10036,Baseline,10,10,8,0.2,0.10131313131313131,1.0,0.6666666666666666,2,0.0003839160199277103
S1_90_0_10,37,10036,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005466659786179662
S1_90_0_10,38,10037,Baseline,10,10,8,0.2222222222222222,0.09984848484848485,1.0,1.0540925533894598,3,0.0005037910013925284
S1_90_0_10,38,10037,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005409159930422902
S1_90_0_10,39,10038,Baseline,10,10,7,0.2222222222222222,0.0996969696969697,1.0,0.816496580927726,2,0.0003763750137295574
S1_90_0_10,39,10038,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005375419859774411
S1_90_0_10,40,10039,Baseline,10,10,5,0.3,0.10222222222222223,1.0,0.4714045207910317,2,0.0004924579989165068
S1_90_0_10,40,10039,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005330000130925328
S1_90_0_10,41,10040,Baseline,10,10,8,0.18181818181818182,0.09878787878787879,1.0,0.816496580927726,2,0.00037937500746920705
S1_90_0_10,41,10040,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005434170016087592
S1_90_0_10,42,10041,Baseline,10,10,5,0.2727272727272727,0.09545454545454546,1.0,0.6666666666666666,2,0.0005947499885223806
S1_90_0_10,42,10041,Security-Aware,10,10,10,0.125,0.10068181818181819,1.0,0.816496580927726,3,0.0006495419947896153
S1_90_0_10,43,10042,Baseline,10,10,7,0.2222222222222222,0.10444444444444445,1.0,0.6666666666666666,2,0.00040391599759459496
S1_90_0_10,43,10042,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005538749974220991
S1_90_0_10,44,10043,Baseline,10,10,8,0.2222222222222222,0.10277777777777777,1.0,0.9428090415820634,3,0.000508541997987777
S1_90_0_10,44,10043,Security-Aware,10,10,10,0.125,0.10068181818181819,1.0,0.816496580927726,3,0.0005517909885384142
S1_90_0_10,45,10044,Baseline,10,10,6,0.2727272727272727,0.09747474747474748,1.0,0.6666666666666666,2,0.0004163749981671572
S1_90_0_10,45,10044,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.000568292016396299
S1_90_0_10,46,10045,Baseline,10,10,7,0.36363636363636365,0.09580808080808081,1.0,1.0540925533894598,4,0.0005135410174261779
S1_90_0_10,46,10045,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005485000147018582
S1_90_0_10,47,10046,Baseline,10,10,7,0.2,0.09747474747474748,1.0,0.816496580927726,2,0.00037741599953733385
