network_size,run,seed,clusters,baseline_max_concentration,security_max_concentration,absolute_difference,relative_reduction_percent,baseline_cluster_size_std,security_cluster_size_std,baseline_time_sec,security_time_sec
250,9,110008,16,0.26666666666666666,0.125,0.14166666666666666,53.125,0.8850612031567836,1.0878112581387147,0.0002565000031609088,0.0009854579984676093
250,10,110009,16,0.29411764705882354,0.125,0.16911764705882354,57.50000000000001,1.3601470508735443,1.0878112581387147,0.0002628339861985296,0.0009945409838110209
250,11,110010,16,0.25,0.125,0.125,50.0,0.8850612031567836,1.5,0.00026070899912156165,0.0010308749915566295
250,12,110011,16,0.1875,0.125,0.0625,33.33333333333333,1.02469507659596,1.408308678285174,0.0002635830023791641,0.0010166249994654208
250,13,110012,16,0.2857142857142857,0.125,0.1607142857142857,56.25,1.0878112581387147,0.9574271077563381,0.0002640000020619482,0.0010407500085420907
250,14,110013,16,0.26666666666666666,0.125,0.14166666666666666,53.125,1.02469507659596,1.5438048235879214,0.0002582909946795553,0.00099608299206011
250,15,110014,16,0.25,0.125,0.125,50.0,0.7187952884282608,1.746424919657298,0.00026204201276414096,0.0009973330015782267
250,16,110015,16,0.3125,0.125,0.1875,60.0,0.8062257748298549,1.5864005379054391,0.00027012499049305916,0.0009826250025071204
250,17,110016,16,0.2857142857142857,0.125,0.1607142857142857,56.25,0.9574271077563381,1.3601470508735443,0.0002634999982547015,0.0009864580060821027
250,18,110017,16,0.26666666666666666,0.125,0.14166666666666666,53.125,0.6191391873668903,1.0878112581387147,0.0002620419836603105,0.0010116249904967844
250,19,110018,16,0.26666666666666666,0.125,0.14166666666666666,53.125,0.8850612031567836,1.2041594578792296,0.0002629580267239362,0.0009899169963318855
250,20,110019,16,0.3125,0.125,0.1875,60.0,1.1474609652039003,2.0936411663256274,0.00026945798890665174,0.0009981250041164458
250,21,110020,16,0.3333333333333333,0.125,0.20833333333333331,62.5,0.9574271077563381,1.2583057392117916,0.00026020800578407943,0.0009929170191753656
250,22,110021,16,0.2,0.125,0.07500000000000001,37.50000000000001,1.408308678285174,1.408308678285174,0.00026991701452061534,0.0010192080226261169
250,23,110022,16,0.25,0.125,0.125,50.0,0.8062257748298549,1.408308678285174,0.0002840000088326633,0.0009788750030566007
250,24,110023,16,0.26666666666666666,0.125,0.14166666666666666,53.125,1.02469507659596,0.9574271077563381,0.0002631249953992665,0.0010060000058729202
250,25,110024,16,0.26666666666666666,0.125,0.14166666666666666,53.125,1.2041594578792296,0.8062257748298549,0.0002687499800231308,0.0009863749728538096
250,26,110025,16,0.21428571428571427,0.125,0.08928571428571427,41.666666666666664,1.2041594578792296,1.6278820596099706,0.0002594580000732094,0.0009908329811878502
250,27,110026,16,0.3125,0.125,0.1875,60.0,0.9574271077563381,1.2583057392117916,0.0002592919918242842,0.000991125009022653
250,28,110027,16,0.25,0.125,0.125,50.0,0.9574271077563381,1.3102162671355697,0.0002671249967534095,0.0009865419997368008
250,29,110028,16,0.25,0.125,0.125,50.0,0.9574271077563381,1.2041594578792296,0.0002600410080049187,0.0009887919877655804
250,30,110029,16,0.26666666666666666,0.125,0.14166666666666666,53.125,1.02469507659596,1.5438048235879214,0.0002608340000733733,0.0010199579992331564
500,1,120000,23,0.22727272727272727,0.13636363636363635,0.09090909090909091,40.0,1.009833078211346,1.3217547325894201,0.0006961250037420541,0.0027211669948883355
